Datetime,Inova Sup RHT - 337457Val1,Inova Sup RHT - 337457Val2,Inova Sup RHT - 337457Val3,Inova Sup RHT - 337457Val4,Inova Sup RHT - 337457Val5,Inova Sup RHT - 337457Val6
2021-09-26 03:06:00,66.42,16.63,10.4,55.1,16.1,12.7
2021-09-26 03:07:00,66.42,16.63,10.4,55.1,16.1,12.7
2021-09-26 03:08:00,66.42,16.63,10.4,55.1,16.1,12.7
2021-09-26 03:09:00,66.45,16.62,10.3,55.0,16.1,-999.0
2021-09-26 03:10:00,66.42,16.62,10.3,55.0,16.1,-999.0
2021-09-26 03:11:00,66.45,16.62,10.3,55.0,16.1,-999.0
2021-09-26 03:12:00,66.45,16.62,10.3,55.0,16.1,-999.0
2021-09-26 03:13:00,66.45,16.61,10.3,55.0,16.1,-999.0
2021-09-26 03:14:00,66.45,16.61,10.3,55.0,16.1,-999.0
2021-09-26 03:15:00,66.45,16.61,10.3,55.0,16.1,-999.0
2021-09-26 03:16:00,66.45,16.59,10.3,54.9,16.0,-999.0
2021-09-26 03:17:00,66.45,16.59,10.3,54.9,16.0,-999.0
2021-09-26 03:18:00,66.45,16.59,10.3,54.9,16.0,-999.0
2021-09-26 03:19:00,66.45,16.59,10.3,54.9,16.0,12.7
2021-09-26 03:20:00,66.45,16.58,10.3,54.9,16.0,12.7
2021-09-26 03:21:00,66.45,16.58,10.3,54.9,16.0,12.7
2021-09-26 03:22:00,66.45,16.58,10.3,54.9,16.0,12.7
2021-09-26 03:23:00,66.45,16.57,10.3,54.9,16.0,12.7
2021-09-26 03:24:00,66.45,16.57,10.3,54.9,16.0,12.7
2021-09-26 03:25:00,66.45,16.57,10.3,54.9,16.0,-999.0
2021-09-26 03:26:00,66.45,16.57,10.3,54.9,16.0,-999.0
2021-09-26 03:27:00,66.45,16.56,10.3,54.8,16.0,-999.0
2021-09-26 03:28:00,66.45,16.56,10.3,54.8,16.0,-999.0
2021-09-26 03:29:00,66.45,16.56,10.3,54.8,16.0,-999.0
2021-09-26 03:30:00,66.45,16.56,10.3,54.8,16.0,-999.0
2021-09-26 03:31:00,66.45,16.56,10.3,54.8,16.0,-999.0
2021-09-26 03:32:00,66.45,16.55,10.3,54.8,16.0,-999.0
2021-09-26 03:33:00,66.45,16.55,10.3,54.8,16.0,-999.0
2021-09-26 03:34:00,66.45,16.54,10.3,54.8,16.0,-999.0
2021-09-26 03:35:00,66.45,16.54,10.3,54.8,16.0,-999.0
2021-09-26 03:36:00,66.48,16.54,10.3,54.8,16.0,-999.0
2021-09-26 03:37:00,66.48,16.54,10.3,54.8,16.0,-999.0
2021-09-26 03:38:00,66.48,16.54,10.3,54.8,16.0,-999.0
2021-09-26 03:39:00,66.48,16.52,10.3,54.7,16.0,-999.0
2021-09-26 03:40:00,66.48,16.52,10.3,54.7,16.0,-999.0
2021-09-26 03:41:00,66.48,16.52,10.3,54.7,16.0,-999.0
2021-09-26 03:42:00,66.45,16.51,10.2,54.7,16.0,-999.0
2021-09-26 03:43:00,66.45,16.51,10.2,54.7,16.0,-999.0
2021-09-26 03:44:00,66.45,16.51,10.2,54.7,16.0,-999.0
2021-09-26 03:45:00,66.45,16.51,10.2,54.7,16.0,-999.0
2021-09-26 03:46:00,66.45,16.5,10.2,54.6,15.9,-999.0
2021-09-26 03:47:00,66.45,16.5,10.2,54.6,15.9,-999.0
2021-09-26 03:48:00,66.45,16.5,10.2,54.6,15.9,-999.0
2021-09-26 03:49:00,66.45,16.5,10.2,54.6,15.9,-999.0
2021-09-26 03:50:00,66.45,16.5,10.2,54.6,15.9,12.6
2021-09-26 03:51:00,66.45,16.49,10.2,54.6,15.9,12.6
2021-09-26 03:52:00,66.45,16.49,10.2,54.6,15.9,12.6
2021-09-26 03:53:00,66.45,16.48,10.2,54.5,15.9,12.6
2021-09-26 03:54:00,66.45,16.48,10.2,54.5,15.9,12.6
2021-09-26 03:55:00,66.45,16.48,10.2,54.5,15.9,-999.0
2021-09-26 03:56:00,66.45,16.48,10.2,54.5,15.9,-999.0
2021-09-26 03:57:00,66.45,16.48,10.2,54.5,15.9,-999.0
2021-09-26 03:58:00,66.45,16.47,10.2,54.5,15.9,-999.0
2021-09-26 03:59:00,66.45,16.47,10.2,54.5,15.9,-999.0
2021-09-26 04:02:00,66.47,16.46,10.2,54.5,15.9,-999.0
2021-09-26 04:03:00,66.47,16.46,10.2,54.5,15.9,-999.0
2021-09-26 04:04:00,66.47,16.46,10.2,54.5,15.9,-999.0
2021-09-26 04:05:00,66.47,16.44,10.2,54.4,15.9,-999.0
2021-09-26 04:06:00,66.47,16.44,10.2,54.4,15.9,-999.0
2021-09-26 04:07:00,66.47,16.44,10.2,54.4,15.9,-999.0
2021-09-26 04:08:00,66.47,16.44,10.2,54.4,15.9,-999.0
2021-09-26 04:09:00,66.47,16.43,10.2,54.4,15.9,-999.0
2021-09-26 04:10:00,66.47,16.43,10.2,54.4,15.9,-999.0
2021-09-26 04:11:00,66.47,16.43,10.2,54.4,15.9,12.6
2021-09-26 04:12:00,66.47,16.43,10.2,54.4,15.9,12.6
2021-09-26 04:13:00,66.47,16.42,10.2,54.3,15.9,12.5
2021-09-26 04:14:00,66.47,16.42,10.2,54.3,15.9,12.5
2021-09-26 04:15:00,66.47,16.42,10.2,54.3,15.9,12.5
2021-09-26 04:16:00,66.47,16.41,10.2,54.3,15.8,12.5
2021-09-26 04:17:00,66.47,16.41,10.2,54.3,15.8,-999.0
2021-09-26 04:18:00,66.47,16.41,10.2,54.3,15.8,-999.0
2021-09-26 04:19:00,66.47,16.41,10.2,54.3,15.8,-999.0
2021-09-26 04:20:00,66.47,16.4,10.1,54.3,15.8,-999.0
2021-09-26 04:21:00,66.47,16.4,10.1,54.3,15.8,-999.0
2021-09-26 04:22:00,66.47,16.39,10.1,54.2,15.8,-999.0
2021-09-26 04:23:00,66.47,16.4,10.1,54.3,15.8,-999.0
2021-09-26 04:24:00,66.47,16.39,10.1,54.2,15.8,-999.0
2021-09-26 04:25:00,66.47,16.39,10.1,54.2,15.8,-999.0
2021-09-26 04:26:00,66.47,16.39,10.1,54.2,15.8,-999.0
2021-09-26 04:27:00,66.47,16.39,10.1,54.2,15.8,-999.0
2021-09-26 04:28:00,66.47,16.38,10.1,54.2,15.8,-999.0
2021-09-26 04:29:00,66.47,16.38,10.1,54.2,15.8,-999.0
2021-09-26 04:30:00,66.47,16.38,10.1,54.2,15.8,-999.0
2021-09-26 04:31:00,66.47,16.37,10.1,54.2,15.8,-999.0
2021-09-26 04:32:00,66.47,16.37,10.1,54.2,15.8,-999.0
